daimsname,fieldname,fieldname_short,required,data_type,field_length,padded_flag
AssistanceTransactionUniqueKey,assistancetransactionuniquekey,afa_generated_unique,FALSE,str,,
PrimeAwardUniqueKey,primeawarduniquekey,unique_award_key,FALSE,str,,
ActionDate,actiondate,action_date,TRUE,str,8,
ActionType,actiontype,action_type,FALSE,str,1,
ActionTypeDescriptionTag,actiontypedescriptiontag,action_type_description,FALSE,str,,
AssistanceType,assistancetype,assistance_type,TRUE,str,2,TRUE
AssistanceTypeDescriptionTag,assistancetypedescriptiontag,assistance_type_desc,FALSE,str,,
AwardDescription,awarddescription,award_description,FALSE,str,4000,
AwardeeOrRecipientLegalEntityName,awardeeorrecipientlegalentityname,awardee_or_recipient_legal,TRUE,str,120,
AwardeeOrRecipientUniqueIdentifier,awardeeorrecipientuniqueidentifier,awardee_or_recipient_uniqu,FALSE,str,9,
AwardingAgencyCode,awardingagencycode,awarding_agency_code,FALSE,str,3,
AwardingAgencyName,awardingagencyname,awarding_agency_name,FALSE,str,100,
AwardingOfficeCode,awardingofficecode,awarding_office_code,FALSE,str,3,
AwardingOfficeName,awardingofficename,awarding_office_name,FALSE,str,100,
AwardingSubTierAgencyCode,awardingsubtieragencycode,awarding_sub_tier_agency_c,TRUE,str,4,
AwardingSubTierAgencyName,awardingsubtieragencyname,awarding_sub_tier_agency_n,FALSE,str,100,
AwardModificationAmendmentNumber,awardmodificationamendmentnumber,award_modification_amendme,FALSE,str,25,
BusinessFundsIndicator,businessfundsindicator,business_funds_indicator,FALSE,str,3,
BusinessFundsIndicatorDescriptionTag,businessfundsindicatordescriptiontag,business_funds_ind_desc,FALSE,str,,
BusinessTypes,businesstypes,business_types,FALSE,str,3,
BusinessTypesDescriptionTag,businesstypesdescriptiontag,business_types_desc,FALSE,str,,
CFDA_Number,cfda_number,cfda_number,TRUE,str,7,
CFDA_Title,cfda_title,cfda_title,FALSE,str,100,
CorrectionDeleteIndicator,correctiondeleteindicator,correction_delete_indicatr,FALSE,str,1,
CorrectionDeleteIndicatorDescriptionTag,correctiondeleteindicatordescriptiontag,correction_delete_ind_desc,FALSE,str,,
FaceValueOfDirectLoanOrLoanGuarantee,facevalueofdirectloanorloanguarantee,face_value_loan_guarantee,FALSE,float,20,
FAIN,fain,fain,FALSE,str,30,
FederalActionObligation,federalactionobligation,federal_action_obligation,FALSE,float,20,
FundingAgencyCode,fundingagencycode,funding_agency_code,FALSE,str,3,
FundingAgencyName,fundingagencyname,funding_agency_name,FALSE,str,100,
FundingOfficeName,fundingofficename,funding_office_name,FALSE,str,100,
FundingOfficeCode,fundingofficecode,funding_office_code,FALSE,str,6,
FundingSubTierAgencyCode,fundingsubtieragencycode,funding_sub_tier_agency_co,FALSE,str,4,
