PA_CODE,FYQ,OMB_BUREAU_TITLE_OPTNL,OMB_ACCOUNT_TITLE_OPTNL,AGENCY_CODE,ALLOCATION_ID,ACCOUNT_CODE,PA_TITLE
0003,FY18Q3,,,417,,0100,Program support
0001,FY18Q3,,,417,,0100,Promotion of the arts
0005,FY18Q3,,,417,,0100,Reimbursable
0801,FY18Q3,,,417,,0100,Reimbursable program activity
0004,FY18Q3,,,417,,0100,Salaries and expenses
0003,FY18Q3,,,417,,0101,Program support
0001,FY18Q3,,,417,,0101,Promotion of the arts
0005,FY18Q3,,,417,,0101,Reimbursable
0004,FY18Q3,,,417,,0101,Salaries and expenses
0001,FY18Q3,,,080,,0109,Office of Inspector General (Direct)
0801,FY18Q3,,,080,,0109,Office of Inspector General (Reimbursable)
0001,FY18Q3,,,080,,0110,"Science, Aeronautics and Technology (Direct)"
0007,FY18Q3,,,075,075,0111,ARRA Medicare/Medicaid HIT
0007,FY18Q3,,,075,,0111,ARRA Medicare/Medicaid HIT
0801,FY18Q3,,,075,075,0111,Clinical laboratory improvement amendments
0801,FY18Q3,,,075,,0111,Clinical laboratory improvement amendments
0008,FY18Q3,,,075,075,0111,Consumer Assistance Grants
0008,FY18Q3,,,075,,0111,Consumer Assistance Grants
0803,FY18Q3,,,075,075,0111,Coordination of benefits
0803,FY18Q3,,,075,,0111,Coordination of benefits
0002,FY18Q3,,,075,075,0111,Federal administration
0002,FY18Q3,,,075,,0111,Federal administration
0006,FY18Q3,,,075,075,0111,High-risk pool grants
0006,FY18Q3,,,075,,0111,High-risk pool grants
0001,FY18Q3,,,080,,0111,Human Space Flight (Direct)
0801,FY18Q3,,,080,,0111,Human Space Flight (Reimbursable)
0808,FY18Q3,,,075,075,0111,Marketplace User Fees
0808,FY18Q3,,,075,,0111,Marketplace User Fees
0804,FY18Q3,,,075,075,0111,Medicare advantage/Prescription drug plan
0804,FY18Q3,,,075,,0111,Medicare advantage/Prescription drug plan
0813,FY18Q3,,,075,075,0111,Other reimbursable program activity
0813,FY18Q3,,,075,,0111,Other reimbursable program activity
0001,FY18Q3,,,075,075,0111,Program operations
0001,FY18Q3,,,075,,0111,Program operations
0805,FY18Q3,,,075,075,0111,Provider enrollment
0805,FY18Q3,,,075,,0111,Provider enrollment
0806,FY18Q3,,,075,075,0111,Recovery audit contractors
0806,FY18Q3,,,075,,0111,Recovery audit contractors
0812,FY18Q3,,,075,075,0111,Reimbursable program activity
0812,FY18Q3,,,075,,0111,Reimbursable program activity
0004,FY18Q3,,,075,075,0111,"Research, demonstrations, and evaluation projects"
0004,FY18Q3,,,075,,0111,"Research, demonstrations, and evaluation projects"
0810,FY18Q3,,,075,075,0111,Risk Adjustment Administrative Expenses
0810,FY18Q3,,,075,,0111,Risk Adjustment Administrative Expenses
0008,FY18Q3,,,075,,0111,Risk Corridor
0811,FY18Q3,,,075,075,0111,Risk Corridors
0811,FY18Q3,,,075,,0111,Risk Corridors
0802,FY18Q3,,,075,075,0111,Sale of data
0802,FY18Q3,,,075,,0111,Sale of data
0003,FY18Q3,,,075,075,0111,State survey and certification
0003,FY18Q3,,,075,,0111,State survey and certification
0001,FY18Q3,,,080,,0112,Mission Support (Direct)
0001,FY18Q3,,,075,075,0112,Premium rate review grants
0001,FY18Q3,,,075,,0112,Premium rate review grants
0002,FY18Q3,,,075,075,0113,Administration
0002,FY18Q3,,,075,,0113,Administration
0001,FY18Q3,,,075,075,0113,Pre-Existing Condition Insurance Plan Program (Direct)
0001,FY18Q3,,,075,,0113,Pre-Existing Condition Insurance Plan Program (Direct)
0801,FY18Q3,,,075,075,0113,Premiums from Fallback States
0801,FY18Q3,,,075,,0113,Premiums from Fallback States
0002,FY18Q3,,,075,075,0114,Administration
0002,FY18Q3,,,075,,0114,Administration
0001,FY18Q3,,,080,,0114,"Science, Aeronautics, and Exploration (Direct)"
0001,FY18Q3,,009-38-0114,075,075,0114,Subsidies for Early Retirees
0002,FY18Q3,,,075,,0115,Administration
0001,FY18Q3,,,075,,0115,Planning and establishment grants
0001,FY18Q3,,,080,,0115,Space Operations (Direct)
0801,FY18Q3,,,080,,0115,Space Operations (Reimbursable)
0001,FY18Q3,,,075,,0117,Pregnancy Assistance Fund (Direct)
0709,FY18Q3,,,075,,0118,Administrative expenses
0706,FY18Q3,,,075,,0118,Interest on reestimates of direct loan subsidy
0705,FY18Q3,,,075,,0118,Reestimates of direct loan subsidy
0001,FY18Q3,,,075,016,0119,Health Insurance Reform Implementation Fund (Direct)
0001,FY18Q3,,,075,020,0119,Health Insurance Reform Implementation Fund (Direct)
0001,FY18Q3,,,075,024,0119,Health Insurance Reform Implementation Fund (Direct)
0001,FY18Q3,,,075,028,0119,Health Insurance Reform Implementation Fund (Direct)
0001,FY18Q3,,,075,075,0119,Health Insurance Reform Implementation Fund (Direct)
0001,FY18Q3,,,075,,0119,Health Insurance Reform Implementation Fund (Direct)
0804,FY18Q3,,,075,075,0120,CMS Trust Funds (Mandatory)
0804,FY18Q3,,,075,,0120,CMS Trust Funds (Mandatory)
0801,FY18Q3,,,075,075,0120,GDM (Collected)
0801,FY18Q3,,,075,,0120,GDM (Collected)
0001,FY18Q3,,,075,075,0120,General Departmental Management
0001,FY18Q3,,,075,,0120,General Departmental Management
0802,FY18Q3,,,075,075,0120,HCFAC (Mandatory)
0802,FY18Q3,,,075,,0120,HCFAC (Mandatory)
0803,FY18Q3,,,075,075,0120,PHS Evaluation
0803,FY18Q3,,,075,,0120,PHS Evaluation
0803,FY18Q3,,,075,,0120,PHS Evaluation (Collected)
0001,FY18Q3,,,080,,0120,Science (Direct)
0804,FY18Q3,,,075,,0121,CMS Trust Funds (Mandatory)
0801,FY18Q3,,,075,,0121,GDM (Collected)
